event_name,Year,Season,City,Games
"Athletics Men's 10,000 metres",2016,Summer,Rio de Janeiro,2016 Summer
"Athletics Men's 3,000 metres Steeplechase",2008,Summer,Beijing,2008 Summer
"Athletics Men's 3,000 metres Steeplechase",2012,Summer,London,2012 Summer
"Athletics Men's 3,000 metres Steeplechase",1992,Summer,Barcelona,1992 Summer
"Athletics Men's 3,000 metres Steeplechase",1996,Summer,Atlanta,1996 Summer
"Athletics Men's 10,000 metres",1988,Summer,Seoul,1988 Summer
Athletics Men's Marathon,1992,Summer,Barcelona,1992 Summer
"Fencing Men's Foil, Individual",1928,Summer,Amsterdam,1928 Summer
"Fencing Men's Foil, Team",1928,Summer,Amsterdam,1928 Summer
"Fencing Men's Foil, Individual",1936,Summer,Berlin,1936 Summer
"Fencing Men's Foil, Team",1936,Summer,Berlin,1936 Summer
"Fencing Men's epee, Individual",1936,Summer,Berlin,1936 Summer
"Fencing Men's epee, Team",1936,Summer,Berlin,1936 Summer
"Athletics Men's 10,000 metres",2000,Summer,Sydney,2000 Summer
"Athletics Men's 10,000 metres",2004,Summer,Athina,2004 Summer
"Athletics Men's 10,000 metres",2008,Summer,Beijing,2008 Summer
Athletics Men's Marathon,2012,Summer,London,2012 Summer
"Wrestling Men's Welterweight, Greco-Roman",2000,Summer,Sydney,2000 Summer
"Wrestling Men's Middleweight, Freestyle",2004,Summer,Athina,2004 Summer
"Wrestling Men's Middleweight, Freestyle",2008,Summer,Beijing,2008 Summer
Swimming Women's 100 metres Backstroke,1984,Summer,Los Angeles,1984 Summer
Swimming Women's 200 metres Backstroke,1984,Summer,Los Angeles,1984 Summer
Swimming Women's 4 x 100 metres Medley Relay,1984,Summer,Los Angeles,1984 Summer
Football Men's Football,1976,Summer,Montreal,1976 Summer
Boxing Men's Lightweight,2012,Summer,London,2012 Summer
"Wrestling Men's Light-Heavyweight, Freestyle",2000,Summer,Sydney,2000 Summer
Modern Pentathlon Men's Individual,2004,Summer,Athina,2004 Summer
Modern Pentathlon Men's Individual,1988,Summer,Seoul,1988 Summer
Modern Pentathlon Men's Team,1988,Summer,Seoul,1988 Summer
Modern Pentathlon Men's Individual,1992,Summer,Barcelona,1992 Summer
Modern Pentathlon Men's Team,1992,Summer,Barcelona,1992 Summer
Athletics Men's 200 metres,1996,Summer,Atlanta,1996 Summer
Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,2016 Summer
Boxing Men's Bantamweight,1952,Summer,Helsinki,1952 Summer
Athletics Women's 200 metres,2016,Summer,Rio de Janeiro,2016 Summer
Athletics Men's 4 x 400 metres Relay,1980,Summer,Moskva,1980 Summer
Hockey Men's Hockey,1996,Summer,Atlanta,1996 Summer
Table Tennis Women's Singles,2000,Summer,Sydney,2000 Summer
Table Tennis Women's Doubles,2000,Summer,Sydney,2000 Summer
Table Tennis Women's Singles,2008,Summer,Beijing,2008 Summer
Shooting Men's Skeet,1996,Summer,Atlanta,1996 Summer
Shooting Men's Skeet,2000,Summer,Sydney,2000 Summer
Swimming Men's 50 metres Freestyle,2000,Summer,Sydney,2000 Summer
Athletics Men's 110 metres Hurdles,1928,Summer,Amsterdam,1928 Summer
Athletics Men's 400 metres Hurdles,1928,Summer,Amsterdam,1928 Summer
Weightlifting Men's Heavyweight,1960,Summer,Roma,1960 Summer
Weightlifting Men's Heavyweight,1964,Summer,Tokyo,1964 Summer
Football Men's Football,1980,Summer,Moskva,1980 Summer
Weightlifting Men's Light-Heavyweight,1980,Summer,Moskva,1980 Summer
Athletics Men's 200 metres,1976,Summer,Montreal,1976 Summer
Boxing Men's Lightweight,1960,Summer,Roma,1960 Summer
Athletics Men's 4 x 400 metres Relay,1992,Summer,Barcelona,1992 Summer
Athletics Men's Marathon,1988,Summer,Seoul,1988 Summer
Swimming Women's 50 metres Freestyle,2000,Summer,Sydney,2000 Summer
Water Polo Men's Water Polo,1976,Summer,Montreal,1976 Summer
